# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  1 19.1038 993.01 383.49
  2 21.5565 953.8 403.911
  3 24.0091 415.36 422.392
  4 26.4617 946.13 439.669
  5 28.9143 362.98 454.357
  6 31.367 757.1 465.707
  7 33.8196 455.35 467.098
  8 36.2722 653.24 484.215
  9 38.7249 504.34 489.904
  10 41.1775 576.09 515.999
  11 43.6301 532.58 515.342
  12 46.0827 559.07 500.98
  13 48.5354 588.16 489.778
  14 50.988 548.24 471.028
  15 53.4406 598.89 450.933
  16 55.8933 481.78 439.105
  17 58.3459 713.73 443.807
  18 60.7985 357.98 436.977
  19 63.2511 989.13 429.067
  20 65.7038 325.04 376.192
33000 20 12312
  1 19.1038 1080.76 382.812
  2 21.5565 1018.71 410.407
  3 24.0091 313.39 425.722
  4 26.4617 987.52 437.514
  5 28.9143 342.41 447.344
  6 31.367 754.64 468.118
  7 33.8196 434.01 472.158
  8 36.2722 663.38 488.154
  9 38.7249 496.26 494.937
  10 41.1775 589.25 506.921
  11 43.6301 537.76 518.172
  12 46.0827 531.91 492.426
  13 48.5354 586.67 482.97
  14 50.988 542.14 471.498
  15 53.4406 595.25 449.026
  16 55.8933 462.1 439.617
  17 58.3459 732.84 452.06
  18 60.7985 367.5 430.261
  19 63.2511 1013.73 428.645
  20 65.7038 261.77 374.957
34000 20 12312.000000000002
  1 19.1038 1015.96 381.432
  2 21.5565 1018.45 408.314
  3 24.0091 352.11 415.23
  4 26.4617 968.04 434.976
  5 28.9143 346.07 450.496
  6 31.367 763.36 474.764
  7 33.8196 436.51 465.902
  8 36.2722 640.37 483.725
  9 38.7249 498.15 494.858
  10 41.1775 601.32 500.428
  11 43.6301 546.59 515.22
  12 46.0827 547.96 497.138
  13 48.5354 589.16 488.139
  14 50.988 553.45 459.968
  15 53.4406 609.78 458.739
  16 55.8933 446.44 447.727
  17 58.3459 740.26 435.594
  18 60.7985 347.45 428.802
  19 63.2511 999.65 424.782
  20 65.7038 290.92 375.134
35000 20 12312
  1 19.1038 1062.53 382.443
  2 21.5565 1026.38 407.513
  3 24.0091 301.1 418.561
  4 26.4617 980.71 435.776
  5 28.9143 344.69 452.21
  6 31.367 758.39 469.938
  7 33.8196 436.41 457.554
  8 36.2722 632.61 475.036
  9 38.7249 506.85 491.404
  10 41.1775 576.65 516.683
  11 43.6301 551.61 520.861
  12 46.0827 549.54 495.02
  13 48.5354 584.47 485.047
  14 50.988 563.97 469.785
  15 53.4406 603.71 456.723
  16 55.8933 418.58 446.661
  17 58.3459 754.68 437.028
  18 60.7985 349.86 426.4
  19 63.2511 1012.28 424.412
  20 65.7038 296.98 375.903
36000 20 12311.999999999998
  1 19.1038 1012.62 372.767
  2 21.5565 945.95 406.912
  3 24.0091 392.6 422.779
  4 26.4617 953.68 431.814
  5 28.9143 352.74 456.775
  6 31.367 746.9 471.185
  7 33.8196 461.4 471.492
  8 36.2722 641.92 475.05
  9 38.7249 497.11 492.696
  10 41.1775 574.63 508.703
  11 43.6301 527.07 514.589
  12 46.0827 587.27 503.605
  13 48.5354 582.07 483.983
  14 50.988 554.16 480.836
  15 53.4406 602.83 456.627
  16 55.8933 444.57 457.459
  17 58.3459 739.33 436.734
  18 60.7985 373.34 428.158
  19 63.2511 983.4 427.725
  20 65.7038 338.41 376.727
37000 20 12312
  1 19.1038 1008.55 374.808
  2 21.5565 1015.15 401.588
  3 24.0091 330.34 418.904
  4 26.4617 963.27 437.989
  5 28.9143 345.71 456.069
  6 31.367 756.93 470.706
  7 33.8196 451.03 465.747
  8 36.2722 646.55 475.027
  9 38.7249 499.05 506.845
  10 41.1775 592.38 508.266
  11 43.6301 513.27 513.744
  12 46.0827 564.27 504.875
  13 48.5354 587.36 482.313
  14 50.988 557.44 477.534
  15 53.4406 599.56 474.446
  16 55.8933 447.34 454.18
  17 58.3459 737.83 445.401
  18 60.7985 379.07 430.353
  19 63.2511 985.26 428.111
  20 65.7038 331.64 373.209
38000 20 12312
  1 19.1038 991.79 370.336
  2 21.5565 1008.59 401.049
  3 24.0091 344.69 414.605
  4 26.4617 966.47 438.858
  5 28.9143 339.51 441.712
  6 31.367 747.81 468.08
  7 33.8196 442.42 471.172
  8 36.2722 667.32 484.129
  9 38.7249 507.29 496.826
  10 41.1775 584.69 527.379
  11 43.6301 515.24 514.785
  12 46.0827 565.77 497.938
  13 48.5354 600.34 475.204
  14 50.988 545.26 475.194
  15 53.4406 620.8 476.106
  16 55.8933 445.41 462.853
  17 58.3459 742.36 434.141
  18 60.7985 357.19 429.437
  19 63.2511 987.82 427.639
  20 65.7038 331.23 371.186
39000 20 12311.999999999998
  1 19.1038 1026.88 368.883
  2 21.5565 975.21 398.056
  3 24.0091 392.9 413.132
  4 26.4617 945.71 446.091
  5 28.9143 359.94 447.919
  6 31.367 742.28 465.796
  7 33.8196 438.53 474.975
  8 36.2722 676.34 485.74
  9 38.7249 509.74 511.184
