# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  12 46.0827 563.86 511.412
  13 48.5354 584.37 505.676
  14 50.988 503.56 507.168
  15 53.4406 632.92 481.326
  16 55.8933 431.43 469.114
  17 58.3459 750.37 443.482
  18 60.7985 351.89 429.177
  19 63.2511 1030.69 424.541
  20 65.7038 284.02 354.96
32000 20 12312
  1 19.1038 1031.98 355.296
  2 21.5565 997.43 386.988
  3 24.0091 309.53 395.13
  4 26.4617 998.6 431.864
  5 28.9143 348.56 455.173
  6 31.367 729.71 457.511
  7 33.8196 450.51 468.309
  8 36.2722 628.86 477.326
  9 38.7249 500 482.871
  10 41.1775 580.13 509.677
  11 43.6301 549.69 512.554
  12 46.0827 546.17 516.897
  13 48.5354 593.79 508.36
  14 50.988 480.32 502.593
  15 53.4406 649.39 491.343
  16 55.8933 441.7 457.267
  17 58.3459 760.64 441.078
  18 60.7985 362.04 428.236
  19 63.2511 1014.2 423.993
  20 65.7038 338.75 360.999
33000 20 12312
  1 19.1038 971.85 356.253
  2 21.5565 956.9 382.916
  3 24.0091 359.89 395.849
  4 26.4617 975.77 434.848
  5 28.9143 360.32 440.742
  6 31.367 723.87 466.114
  7 33.8196 447.52 466.2
  8 36.2722 617.5 482.012
  9 38.7249 517.25 490.353
  10 41.1775 572.43 506.224
  11 43.6301 547.73 517.041
  12 46.0827 559.43 514.247
  13 48.5354 591.27 509.628
  14 50.988 487.1 500.749
  15 53.4406 652.06 482.303
  16 55.8933 455.61 464.562
  17 58.3459 751.64 444.328
  18 60.7985 362.17 426.595
  19 63.2511 982.81 425.751
  20 65.7038 418.88 361.883
34000 20 12311.999999999998
  1 19.1038 998.32 361.043
  2 21.5565 959.64 389.126
  3 24.0091 312.86 401.797
  4 26.4617 986.83 437.44
  5 28.9143 354.76 449.719
  6 31.367 721.98 458.371
  7 33.8196 456.51 471.751
  8 36.2722 619.52 481.211
  9 38.7249 522.53 498.125
  10 41.1775 579 502.253
  11 43.6301 522.24 518.919
  12 46.0827 549.63 518.187
  13 48.5354 591.03 507.907
  14 50.988 501.46 496.595
  15 53.4406 653.49 478.522
  16 55.8933 445.89 475.468
  17 58.3459 756.9 446.99
  18 60.7985 362.48 424.812
  19 63.2511 996.91 423.974
  20 65.7038 420.02 366.673
35000 20 12312.000000000002
  1 19.1038 1070.77 363.224
  2 21.5565 954.63 391.335
  3 24.0091 285.92 403.464
  4 26.4617 999.94 440.034
  5 28.9143 341.23 452.641
  6 31.367 721.93 457.741
  7 33.8196 464.93 471.639
  8 36.2722 613.85 477.471
  9 38.7249 493.47 492.131
  10 41.1775 595.5 516.858
  11 43.6301 557.77 521.66
  12 46.0827 517.3 507.896
  13 48.5354 587.3 499.422
  14 50.988 501.27 504.843
  15 53.4406 627.7 472.424
  16 55.8933 463.31 469.81
  17 58.3459 756.53 449.406
  18 60.7985 362.15 430.654
  19 63.2511 1024.4 423.415
  20 65.7038 372.1 361.213
36000 20 12312
  1 19.1038 972.36 362.321
  2 21.5565 1013.42 390.041
  3 24.0091 325.31 393.436
  4 26.4617 1002.31 435.373
  5 28.9143 357.43 456.352
  6 31.367 741.35 462.93
  7 33.8196 448.04 466.097
  8 36.2722 611 476.297
  9 38.7249 500.8 488.446
  10 41.1775 576.23 500.657
  11 43.6301 548.53 522.234
  12 46.0827 536.32 508.687
  13 48.5354 606.75 493.173
  14 50.988 507.31 497.646
  15 53.4406 633.96 482.592
  16 55.8933 445.95 458.405
  17 58.3459 742 444.525
  18 60.7985 363.99 427.381
  19 63.2511 1008.24 424.629
  20 65.7038 370.7 357.419
37000 20 12311.999999999996
  1 19.1038 1038.56 360.524
  2 21.5565 1055.14 389.226
  3 24.0091 231.04 411.481
  4 26.4617 1016.53 439.219
  5 28.9143 339 445.855
  6 31.367 718.12 462.114
  7 33.8196 432 478.972
  8 36.2722 625.07 480.065
  9 38.7249 505.42 493.36
  10 41.1775 564.73 500.78
  11 43.6301 554.38 518.318
  12 46.0827 553.8 511.009
  13 48.5354 597.88 487.613
  14 50.988 523.23 494.816
  15 53.4406 611.33 489.796
  16 55.8933 447.08 464.038
  17 58.3459 767.98 450.541
  18 60.7985 359.41 432.148
  19 63.2511 1019.67 423.208
  20 65.7038 351.63 355.495
38000 20 12311.999999999998
  1 19.1038 1054.69 357.518
  2 21.5565 1012.46 388.36
  3 24.0091 238.08 412.816
  4 26.4617 1006.01 439.494
  5 28.9143 338.2 446.877
  6 31.367 725.54 459.935
  7 33.8196 437.79 480.858
  8 36.2722 628.94 481.85
  9 38.7249 501.43 491.535
  10 41.1775 570.98 501.802
  11 43.6301 556.61 520.792
  12 46.0827 550.68 497.092
  13 48.5354 580.77 493.927
  14 50.988 538.37 488.21
  15 53.4406 602.97 485.17
  16 55.8933 476.62 468.111
  17 58.3459 754.3 447.824
  18 60.7985 344.61 434.901
  19 63.2511 1024.57 424.597
  20 65.7038 368.38 357.834
39000 20 12311.999999999998
  1 19.1038 983.18 359.246
  2 21.5565 951.3 382.27
  3 24.0091 361.91 411.723
  4 26.4617 974.29 434.125
  5 28.9143 361.23 460.145
  6 31.367 731.62 469.364
  7 33.8196 447.54 482.705
  8 36.2722 617.85 483.169
  9 38.7249 496.06 487.738
  10 41.1775 581.61 497.623
  11 43.6301 538.68 525.996
  12 46.0827 560.83 515.93
  13 48.5354 564.06 501.757
  14 50.988 552.62 485.038
  15 53.4406 582.18 483.561
  16 55.8933 475.97 460.404
  17 58.3459 753.64 442.876
  18 60.7985 356.07 440.329
  19 63.2511 1013.48 428.624
  20 65.7038 407.88 366.518
40000 20 12312.000000000002
  1 19.1038 996.8 357.149
  2 21.5565 993.1 382.941
  3 24.0091 312.15 405.717
  4 26.4617 996.27 438.782
  5 28.9143 334.52 461.701
  6 31.367 714.6 471.436
  7 33.8196 455.63 479.663
  8 36.2722 619.14 494.835
  9 38.7249 528.15 487.96
  10 41.1775 561.56 497.542
  11 43.6301 547.04 522.223
  12 46.0827 577.8 516.593
  13 48.5354 591.09 496.196
  14 50.988 514.57 496.885
  15 53.4406 583.68 479.187
  16 55.8933 466.62 462.865
  17 58.3459 757.91 437.84
  18 60.7985 357.37 439.388
  19 63.2511 1015.52 431.312
  20 65.7038 388.48 373.993
41000 20 12312
  1 19.1038 1026.14 357.04
  2 21.5565 1045.67 384.352
  3 24.0091 279.5 400.496
  4 26.4617 1006.13 435.577
  5 28.9143 333.2 449.98
  6 31.367 721.11 470.971
  7 33.8196 446.47 482.777
  8 36.2722 636.71 492.382
  9 38.7249 509.22 503.175
  10 41.1775 574.04 511.064
  11 43.6301 566.69 505.189
  12 46.0827 545.86 510.405
  13 48.5354 579.16 498.614
  14 50.988 517.52 486.48
  15 53.4406 609.64 475.479
  16 55.8933 447.92 464.314
  17 58.3459 755.01 442.348
  18 60.7985 350.97 436.584
  19 63.2511 1022.3 426.945
  20 65.7038 338.74 369.11
42000 20 12311.999999999998
  1 19.1038 1010.73 356.118
  2 21.5565 976.58 385.406
  3 24.0091 309.26 403.669
  4 26.4617 995.05 436.674
  5 28.9143 333.05 438.873
  6 31.367 729.9 470.962
