# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  21 25.2965 0 0
26000 21 12312.000000000002
  1 -22.8873 604.96 424.067
  2 -20.4781 636.49 431.838
  3 -18.0689 617.37 443.495
  4 -15.6597 610.31 440.475
  5 -13.2505 650.86 439.873
  6 -10.8414 587.86 442.133
  7 -8.43217 585.3 450.386
  8 -6.02298 634.89 453.244
  9 -3.61379 628.13 480.947
  10 -1.2046 591.19 479.489
  11 1.2046 622.72 480.347
  12 3.61379 599.02 473.778
  13 6.02298 618.43 460.474
  14 8.43217 597.59 455.159
  15 10.8414 658.84 448.133
  16 13.2505 595.45 442.039
  17 15.6597 606.01 442.198
  18 18.0689 640.42 456.32
  19 20.4781 622.32 443.14
  20 22.8873 603.84 433.16
  21 25.2965 0 0
27000 21 12312
  1 -22.8873 592.35 422.787
  2 -20.4781 620.03 435.433
  3 -18.0689 633.84 442.954
  4 -15.6597 605.99 446.681
  5 -13.2505 655.33 439.153
  6 -10.8414 600.79 447.392
  7 -8.43217 620.32 448.909
  8 -6.02298 609.15 465.397
  9 -3.61379 627.66 475.83
  10 -1.2046 574.6 468.575
  11 1.2046 623.19 471.139
  12 3.61379 596.13 468.926
  13 6.02298 599.22 463.72
  14 8.43217 609.9 457.001
  15 10.8414 642.65 456.159
  16 13.2505 614.59 443.666
  17 15.6597 606.45 440.803
  18 18.0689 622.29 439.882
  19 20.4781 634.86 440.88
  20 22.8873 622.66 421.265
  21 25.2965 0 0
28000 21 12311.999999999998
  1 -22.8873 600.83 424.173
  2 -20.4781 634.36 434.262
  3 -18.0689 626.54 433.545
  4 -15.6597 591.88 438.769
  5 -13.2505 651.23 441.428
  6 -10.8414 620.18 453.698
  7 -8.43217 596.05 437.209
  8 -6.02298 605.82 462.824
  9 -3.61379 633.02 471.796
  10 -1.2046 587.13 468.991
  11 1.2046 600.33 476.684
  12 3.61379 599.76 470.776
  13 6.02298 598.75 461.672
  14 8.43217 584.26 455.235
  15 10.8414 633.56 447.46
  16 13.2505 626.89 450.47
  17 15.6597 634.24 447.62
  18 18.0689 611.49 433.527
  19 20.4781 646.28 436.8
  20 22.8873 629.4 428.48
  21 25.2965 0 0
29000 21 12312
  1 -22.8873 606.42 423.554
  2 -20.4781 641.55 430.669
  3 -18.0689 617.39 441.328
  4 -15.6597 603.52 446.032
  5 -13.2505 637.25 440.919
  6 -10.8414 629.78 453.785
  7 -8.43217 601.84 448.077
  8 -6.02298 601.76 454.729
  9 -3.61379 632.31 471.194
  10 -1.2046 588.3 467.006
  11 1.2046 608.38 479.823
  12 3.61379 601.03 477.744
  13 6.02298 600.26 467.757
  14 8.43217 587.79 453.586
  15 10.8414 623.34 449.362
  16 13.2505 628.69 444.494
  17 15.6597 631.07 445.604
